"HolderAddress","Balance","PendingBalanceUpdate"
"0xb096fe26a7c28b539ec9d6fd9674051e393346e8","21,000,000","No"
"0x4f4044c38e535aa34d9d1d818e19f0dc32eb8db1","20,900,682.7911","No"
"0xa1a0627c234b6bca6eb4a7a61b641b975dd7c235","20,850,210.0247","No"
"0x81fcba35f719bdacf96b931732e2637f86e65a57","20,682,465.04489077","No"
"0xada46ed4cbf7dc0558640db7712ae1aca972d068","20,292,041.1","No"
"0x5c0c20e468482b5d9910569a65d394d769a8f4ea","20,258,917.34","No"
"0xf8bb05230c0ca8bc40a886d5daad0f546f130fa2","20,192,192.17","No"
"0x00a26ec09b5dd4867b541dc36be10970f7520cb6","20,179,828.96","No"
"0xa13df8a238e9bca5d9f191052a6ac6b91c2a4afa","20,174,839.1324","No"
"0xb8f6428f827cdff55718804d07af6cc478ea2942","20,146,486","No"
"0xfbeccd8358904e8e5b784a4b443407b77d44e324","20,135,584.8539","No"
"0xe5b51e465d1ffe643255e3b5114ad7e0feb65ef0","20,097,675.34","No"
"0xe9b8337b63996222f2b8a33672e3a9eb314313e3","20,091,885.48","No"
"0xf8b72af546bf0ae3df72daee7a625f6162c210ca","20,088,977.33684722","No"
"0xd05ed977406e1ef8d7486479f4b8bd6e4a988bf7","20,031,882.12154233","No"
"0x75624ed3316024c80a7212000d8fce28af06fdea","20,030,164.5345","No"
"0x7fdb3ba4c5d62bd661cb52646e4f12f93242833c","20,029,320.5939","No"
"0xe93559fda86b84d63e52abf0cd3ac95cfae3bd6b","20,004,896.6819","No"
"0x6899573c1ee4939cc13d12c91135df29bac96139","20,000,490.52","No"
"0x1b56651023b0f5ed8f97a23a65de03933bcf70e7","19,978,080.8545532","No"
"0x3a3405553bd223b1fa263f44cca49abe7716d64f","19,960,706.3816802","No"
"0xd8f73e97ab37f2ee56ec108ea27e30747266d839","19,950,000.2683","No"
"0xe9503d7b845a3e0b7356782ee4361d4c09e9a64c","19,840,000.83543439","No"
"0x464387884c6629f5e08e0d7c0fe9ce86d708abdf","19,825,678.46","No"
"0xa29e2f1f55eb1151f6eeb64004adb379384a2111","19,591,982","No"
"0x80d42ddf5c0eca0b4a87775487b1232738f4aef6","19,487,017.3396","No"
"0x673bc5bb2c9b50867c1283f1d348cf318eb78198","19,407,087.26","No"
"0x9ef023bcd7d18fc09982a0d55179bcad75d26034","19,235,855.17704553","No"
"0xa47e31ced6dab7b05c4b30f4a8cec80b0f5f7508","19,080,994.882","No"
"0xee45a802d83989b5e0494333f090cdfbe7b4c1bd","19,001,893.05","No"
"0x8fc9b5be2d5a2f47b3ca9ffa57a49a3733ae1ba8","18,978,520.20622225","No"
"0x7133a8b97dad2ac938afcc8ecf51d0510d2df998","18,809,270.91","No"
"0x7c7b69ad85b083dba5b7d0367716a5554b4276d0","18,663,400.29435089","No"
"0xcf2f6b1217501b8f7b25f2f22b7f7b313b2483c5","18,520,024.1085","No"
"0xfd5a087a99f22df71ae94aaa4af5e3ca21043bad","18,495,757.53652599","No"
"0x8f1280e3976bc2f53a1c8ce11b3ad701b6a04f1f","18,022,595.00897444","No"
"0xe3c5be472275c486c76882013c0fe53e65494d08","17,974,520.3823","No"
"0x8e884089f642ee9ed63c5ea457e40f20ead73d89","17,885,277.605345468663193293","No"
"0x2f6f6a9d9d6879d9267338d1a08e991a938597e8","17,847,992.53764888","No"
"0x0d4e285f7fbf7dbe65355bb19f1f029204b1abf3","17,729,018.3172","No"
"0x73f4e50a76825dcb59ada1d05ea92d97e1e2b4fc","17,462,179.48717949","No"
"0x333ea95fea601de6f23ab96737ae8d0356135fcb","17,456,969.847399994848783035","No"
"0x6e1a1fc7eca6eb05e502fad53a2b642522bcc043","17,434,272.47","No"
"0xd8af8759e72895df5594f261771be84a242c29e6","17,356,349.6887","No"
"0x4888264a701d02d26dfddfb5f94762d43509be73","17,233,191.6693","No"
"0xbd0e84813a9334393b427a3bed4e81b616ccbebf","17,152,056.8","No"
"0x7614346a7b4fb0d0a0378a8707a8e8ebde430877","17,128,336.8027","No"
"0xf07f7da6381fa11a4b47ea31164828a1bb9cdeaf","17,126,779.3178","No"
"0xda1cefe89dcf5ce173c51bc4d2be89f154879f54","17,000,000.20811254","No"
"0xe9d9759e5c6755eb12d288abd7737320976cb16e","16,974,286.917","No"
"0xaf1e70ee65ff3cd691eafe9fa2413d9c144a22cd","16,953,825.6216399","No"
"0x0bea21ea25534ea8c43d015d21cc287473fecd42","16,871,362.024234726750329231","No"
"0xaa42b8013a3757e887f1e4030ccc4caa27cfcaf8","16,692,272.215976873800168881","No"
"0x2a46c9a34b50797323b280aff9d03db5fb0bc646","16,643,256.1387","No"
"0x9c16360f428ccba7a32163cf3acf5887c2c78661","16,526,329.2623","No"
"0xfab5056c364943ca25187e454ff3c592f3d61cc0","16,522,518.802586053877791662","No"
"0x687715c118df1c3865cc1df11a9cf6be54c17c67","16,423,396.47890747","No"
"0x0fa1db4f090f911585d08286d58b6ea141292ba9","16,056,786.52","No"
"0x6bd9223daebaf9ba3a5d6051466121e1c7a9013e","16,018,000.9317","No"
"0x43c932c0eabf4dcd422f05a69440ae20c0467bdf","16,009,675.78","No"
"0x4d5c565b6fdc8c17fea752e45e385894b312f936","15,974,218.20590409","No"
"0x265274fac0906c3a3f4377d3f0d813a19ab84141","15,966,737.9571","No"
"0x1f4db09419887c29650c0f3c1ebd0c35a6144378","15,749,406.5268","No"
"0x167fb839595ebec6111ea94d9f477ea1e0efc41e","15,740,514.9054002","No"
"0x1e1e323c0d1ca314408d2b8f63f9c9a6863ce4c4","15,629,348.321071580763600631","No"
"0x0931ccf37d7fd3db521eaa65341b1893923decc7","15,601,918.36986106","No"
"0x1fc6d6b9ba2b4f11bc59483ca061b9ad1ce52890","15,576,432.0011","No"
"0xbd22182954287dfe1052130af8ea91529195395b","15,542,697.2805","No"
"0x58a0dd7746d82cc78c17664f8be6bc3881ecdb85","15,484,764.52","No"
